일자,자치구,자치구_평균속도,도로명,평일,일요일,월요일,화요일,수요일,목요일,금요일,토요일,key
2024-07-01,강남구,21.725,강변북로,43.0,57.7,45.0,42.2,44.0,42.7,40.1,47.8,1
2024-07-01,강남구,21.725,경부고속도로,34.4,44.2,36.2,34.5,35.1,34.0,31.2,39.4,1
2024-07-01,강남구,21.725,내부순환로,53.7,64.3,56.6,52.6,54.5,53.3,50.5,55.4,1
2024-07-01,강남구,21.725,동부간선도로,52.3,59.6,54.1,51.4,53.4,52.2,49.7,51.5,1
2024-07-01,강남구,21.725,북부간선도로,43.4,50.4,45.6,44.5,45.1,41.0,39.4,43.3,1
2024-07-01,강남구,21.725,분당수서로,45.3,60.9,47.5,45.4,46.7,45.2,40.7,50.7,1
2024-07-01,강남구,21.725,올림픽대로,45.6,60.9,47.9,45.0,46.7,44.9,42.5,51.7,1
2024-07-01,강남구,21.725,강남순환로,82.3,89.4,83.5,82.3,82.5,81.9,80.7,84.5,1
2024-07-01,강동구,21.0675,강변북로,43.0,57.7,45.0,42.2,44.0,42.7,40.1,47.8,1
2024-07-01,강동구,21.0675,경부고속도로,34.4,44.2,36.2,34.5,35.1,34.0,31.2,39.4,1
2024-07-01,강동구,21.0675,내부순환로,53.7,64.3,56.6,52.6,54.5,53.3,50.5,55.4,1
2024-07-01,강동구,21.0675,동부간선도로,52.3,59.6,54.1,51.4,53.4,52.2,49.7,51.5,1
2024-07-01,강동구,21.0675,북부간선도로,43.4,50.4,45.6,44.5,45.1,41.0,39.4,43.3,1
2024-07-01,강동구,21.0675,분당수서로,45.3,60.9,47.5,45.4,46.7,45.2,40.7,50.7,1
2024-07-01,강동구,21.0675,올림픽대로,45.6,60.9,47.9,45.0,46.7,44.9,42.5,51.7,1
2024-07-01,강동구,21.0675,강남순환로,82.3,89.4,83.5,82.3,82.5,81.9,80.7,84.5,1
2024-07-01,금천구,21.747500000000002,강변북로,43.0,57.7,45.0,42.2,44.0,42.7,40.1,47.8,1
2024-07-01,금천구,21.747500000000002,경부고속도로,34.4,44.2,36.2,34.5,35.1,34.0,31.2,39.4,1
2024-07-01,금천구,21.747500000000002,내부순환로,53.7,64.3,56.6,52.6,54.5,53.3,50.5,55.4,1
2024-07-01,금천구,21.747500000000002,동부간선도로,52.3,59.6,54.1,51.4,53.4,52.2,49.7,51.5,1
2024-07-01,금천구,21.747500000000002,북부간선도로,43.4,50.4,45.6,44.5,45.1,41.0,39.4,43.3,1
2024-07-01,금천구,21.747500000000002,분당수서로,45.3,60.9,47.5,45.4,46.7,45.2,40.7,50.7,1
2024-07-01,금천구,21.747500000000002,올림픽대로,45.6,60.9,47.9,45.0,46.7,44.9,42.5,51.7,1
2024-07-01,금천구,21.747500000000002,강남순환로,82.3,89.4,83.5,82.3,82.5,81.9,80.7,84.5,1
2024-07-01,서초구,24.6025,강변북로,43.0,57.7,45.0,42.2,44.0,42.7,40.1,47.8,1
2024-07-01,서초구,24.6025,경부고속도로,34.4,44.2,36.2,34.5,35.1,34.0,31.2,39.4,1
2024-07-01,서초구,24.6025,내부순환로,53.7,64.3,56.6,52.6,54.5,53.3,50.5,55.4,1
