년도,월,도로명,평일 평균 교통량,평일 평균 속도,일요일(휴일포함),월요일,화요일,수요일,목요일,금요일,토요일
2024,01,강변북로,219290,48,63.1,50.1,50.2,47.3,47.4,44.3,50.1
2024,02,강변북로,218630,42.9,59.4,43,45.6,41.3,43.3,40.7,49.7
2024,03,강변북로,227321,46.8,59.1,49.4,49,48,45.1,42.4,51.1
2024,04,강변북로,227307,44.1,60.1,46.9,42.3,44.7,44.2,42.3,46.5
2024,05,강변북로,223623,44.6,55.9,48.3,42.6,47.7,44.1,42.2,43
2024,06,강변북로,226492,43.1,57.8,47.4,43.9,41.8,41.8,40.3,46
2024,07,강변북로,221097,43,57.7,45,42.2,44,42.7,40.1,47.8
2024,08,강변북로,222050,41.1,58.7,43.7,40.7,39.7,41.7,39.8,47.3
2024,09,강변북로,218942,39.6,55.1,41.7,38.9,37.7,41.3,38,47.6
2024,10,강변북로,225775,42.1,54.2,45.3,40.7,42.2,42.3,39.9,41.6
2024,11,강변북로,222522,44,50.8,45.7,42.1,44.1,47.6,41,41.2
2024,12,강변북로,223448,43.9,58.5,46.3,43.5,44.2,41.9,42.2,49.5
2024,01,경부고속도로,179976,37.3,49.4,38.5,40.1,37.2,36.9,33.3,39.7
2024,02,경부고속도로,182777,32.4,44.9,32.9,33.6,31.1,33.4,30,38.5
2024,03,경부고속도로,187101,34.3,44.4,36.1,35.4,35.5,33.7,31.1,38.9
2024,04,경부고속도로,190650,33.5,45.3,36.2,32.1,35.1,33.4,30.7,35.6
2024,05,경부고속도로,192663,34.5,42.9,36.7,33.3,38.3,34.8,31.1,34.8
2024,06,경부고속도로,192483,33.9,46,37.1,34.6,33,31.9,32.5,37.3
2024,07,경부고속도로,187354,34.4,44.2,36.2,34.5,35.1,34,31.2,39.4
2024,08,경부고속도로,190801,33.1,46.8,35.2,32.8,32.3,33,32.7,39.4
2024,09,경부고속도로,190966,31.8,42.8,33.8,31.9,30.9,32.3,30,37.9
2024,10,경부고속도로,192857,33.2,43.3,36.1,31.5,33.7,32.9,31.8,34.5
2024,11,경부고속도로,188935,35.1,38.7,35.6,33,35.8,40.2,32,33.1
2024,12,경부고속도로,189152,35.3,47.8,37.1,35.7,35.5,34.1,33.7,39.7
2024,01,내부순환로,134973,55.4,64.4,57.1,56.9,54.7,55.3,53,53.4
2024,02,내부순환로,136434,50.8,60.9,50.9,53.3,49.5,50.6,49.3,54.4
2024,03,내부순환로,140815,54.4,63.1,54.9,55.4,55.5,53.7,52.2,56.1
2024,04,내부순환로,139284,53.4,65.5,55.9,52.8,54.2,52.6,51.6,54.1
2024,05,내부순환로,141352,54,61.1,57.6,52.8,55.1,53.7,52.2,51.6
2024,06,내부순환로,141630,53.4,65.5,56.8,53.7,52.2,53.1,50.9,53.9
2024,07,내부순환로,137552,53.7,64.3,56.6,52.6,54.5,53.3,50.5,55.4
2024,08,내부순환로,140595,51.8,65.4,54.2,51.3,50.5,52.7,50.5,55.9
2024,09,내부순환로,143998,50.1,61.7,53.6,49.4,48.4,51.4,47,55.8
2024,10,내부순환로,143967,51.8,61.7,55.5,50.2,51.8,51.8,49.7,52.1
2024,11,내부순환로,144226,53.1,56.2,55.8,51.2,52.6,55.6,50.8,47.3
2024,12,내부순환로,142479,53.4,60.8,55.9,52.9,54.9,51.7,51.4,53.9
2024,01,동부간선도로,131369,55.6,64.8,57.8,56.7,55,55.8,52.8,52.4
2024,02,동부간선도로,132853,50.9,60.1,51.4,52.6,49.2,51.3,49.5,52.1
2024,03,동부간선도로,136958,52.6,60.2,53.2,54.1,53.2,51.8,50.6,52.7
2024,04,동부간선도로,136899,52.2,61.9,54.1,50.2,54.4,51.9,50.7,49.4
2024,05,동부간선도로,137168,51.1,56.1,54.5,50.1,54,50.3,48.4,45.7
2024,06,동부간선도로,137506,51.4,61.4,54.7,52.5,50.5,50.7,48.5,49.7
2024,07,동부간선도로,134540,52.3,59.6,54.1,51.4,53.4,52.2,49.7,51.5
