"SUM_YRMTH","CZN_CD","COCT_CD","TRFFCVLM","SPD_AVG","PASNG_RUNTM_MINS","NMLT_CSCNT","REVISN_CSCNT","PSTM_STDV","PASNG_TM_CHANGE_CFFCN","MAX_PASNG_TM_MINS","MEDIAN_PASNG_TM_MINS","MINM_PASNG_TM_MINS","F15T85_PASNG_RUNTM_QNTL","LAST_CHANGE_DAYHMINSEC","ST_ND_NM","ST_ND_GPS_LAT","ST_ND_GPS_LONG","END_ND_NM","END_ND_GPS_LAT","END_ND_GPS_LONG"
"202211","1040CZE030","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20221201083054","서부산TG","35.156691","128.947064","가락IC","35.165139","128.896716"
"202211","1040CZS040","1","1166438","93.69","214","86225","62","5.43","0.02","231","214","203","19","20221201083054","서부산IC","35.156004","128.951651","가락IC","35.165139","128.896716"
"202211","0100CZS290","1","967249","88.76","115","85845","526","2.95","0.02","123","115","112","7","20221201083054","덕천IC","35.214906","129.008186","대저JC","35.219301","128.974349"
"202211","0100CZE285","1","902484","96.62","119","86349","22","4.24","0.03","128","118","113","10","20221201083054","북부산TG","35.221307","128.940883","대저JC","35.219301","128.974349"
"202211","0550CZS020","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20221201083054","초정IC","35.233765","128.980207","대저JC","35.219301","128.974349"
"202211","0010CZS010","1","898464","87.41","74","83568","1698","1.67","0.02","80","74","72","5","20221201083054","영락IC","35.273493","129.108684","구서IC","35.246178","129.092822"
"202211","0100CZE290","1","880623","79.58","129","86233","138","4.94","0.03","138","130","116","15","20221201083054","대저JC","35.219301","128.974349","덕천IC","35.214906","129.008186"
"202211","1040CZE040","1","1058717","97.09","206","86225","62","9.12","0.04","227","206","192","24","20221201083054","가락IC","35.165139","128.896716","서부산IC","35.156004","128.951651"
"202211","0010CZS090","1","788090","97.99","382","86174","59","10.40","0.02","398","383","362","25","20221201083054","건천IC","35.843725","129.085261","경주IC","35.807377","129.184893"
"202211","0010CZE085","1","716369","101.88","390","86339","30","12.63","0.03","408","392","365","30","20221201083054","활천IC","","","경주IC","35.807377","129.184893"
"202211","0010CZS100","1","802703","93.98","466","86201","59","10.28","0.02","480","467","446","23","20221201083054","영천JC","","","건천IC","35.843725","129.085261"
"202211","0010CZE090","1","788710","97.64","383","86176","58","12.87","0.03","401","385","359","29","20221201083054","경주IC","35.807377","129.184893","건천IC","35.843725","129.085261"
"202211","0010CZS130","1","1220919","96.22","153","85475","0","4.28","0.02","157","154","143","9","20221201083054","도동JC","35.912552","128.662699","동대구JC","35.886186","128.693814"
"202211","0010CZE120","1","1064145","91.21","365","86163","88","7.46","0.02","374","368","349","17","20221201083054","경산IC","35.876890","128.789802","동대구JC","35.886186","128.693814"
"202211","0552CZE120","1","993129","88.74","101","8634","0","2.06","0.02","104","101","95","6","20221201083054","동대구IC","35.864978","128.686229","동대구JC","35.886186","128.693814"
"202211","0550CZE130","1","695417","95.88","182","86217","47","4.02","0.02","191","183","173","12","20221201083054","금호JC","35.892622","128.525227","칠곡IC","35.935239","128.535347"
"202211","0550CZS140","1","595850","99.13","188","86205","32","2.85","0.01","194","189","183","7","20221201083054","동명동호IC","","","칠곡IC","35.935239","128.535347"
"202211","0010CZS150","1","2168196","91.79","214","82936","148","4.83","0.02","222","216","203","13","20221201083054","금호JC","35.892622","128.525227","북대구IC","35.909533","128.583284"
"202211","0010CZE140","1","1887807","96.41","286","86109","84","6.37","0.02","295","289","272","16","20221201083054","도동JC","35.912552","128.662699","북대구IC","35.909533","128.583284"
"202211","0550CZS130","1","682690","94.69","184","86218","46","2.13","0.01","189","185","180","6","20221201083054","칠곡IC","35.935239","128.535347","금호JC","35.892622","128.525227"
"202211","0010CZE150","1","2168610","92.43","213","82918","162","4.52","0.02","224","213","201","16","20221201083054","북대구IC","35.909533","128.583284","금호JC","35.892622","128.525227"
"202211","4510CZE080","1","650086","81.66","50","86235","30","1.20","0.02","51","50","47","2","20221201083054","서대구TG","35.879705","128.529925","금호JC","35.892622","128.525227"
"202211","0010CZS160","1","1792905","95.70","152","0","0","2.33","0.01","155","153","146","6","20221201083054","칠곡JC","","","금호JC","35.892622","128.525227"
"202211","4510CZS040","1","1563367","93.98","99","86339","32","2.21","0.02","103","100","94","6","20221201083054","유천 하이패스IC","","","화원옥포IC","35.801066","128.483013"
